shop_name,shop_type,shop_star_rating,shop_address,월opening_hours,월last_order_time,화opening_hours,화last_order_time,수opening_hours,수last_order_time,목opening_hours,목last_order_time,금opening_hours,금last_order_time,토opening_hours,토last_order_time,일opening_hours,일last_order_time,shop_contact
와인바 별채,와인,4.26,서울 마포구 동교로38길 9 3층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1349-3575
어반루프,바(BAR),4.58,서울 마포구 동교로34길 12,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-25:00,00:00,17:00-25:00,00:00,휴무,23:00,02-323-4633
아트와떵,와인,정보 없음,서울 마포구 동교로50길 25 1층 101호,휴무,정보 없음,12:00-24:00,15:00 - 17:00 브레이크타임,12:00-24:00,15:00 - 17:00 브레이크타임,12:00-24:00,15:00 - 17:00 브레이크타임,12:00-24:00,15:00 - 17:00 브레이크타임,12:00-24:00,15:00 - 17:00 브레이크타임,휴무,정보 없음,010-3249-5325
구룰루,와인,정보 없음,서울 마포구 동교로 272-7 1층,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-25:00,정보 없음,15:00-25:00,정보 없음,15:00-23:00,정보 없음,0507-1370-9405
GWEEK,술집,정보 없음,서울 마포구 동교로50길 11 지층 GWEEK,13:00-22:00,21:00,정보 없음,정보 없음,휴무,정보 없음,13:00-22:00,21:00,13:00-22:00,21:00,13:00-22:00,21:00,13:00-22:00,21:00,0507-1358-6753
주재,바(BAR),정보 없음,서울 마포구 성미산로 167-7 1층 101호,휴무,정보 없음,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,정보 없음,0507-1335-9310
얍,와인,정보 없음,서울 마포구 동교로32길 19 오른쪽 반지층,17:00-23:00,정보 없음,17:00-23:00,정보 없음,17:00-23:00,정보 없음,17:00-23:00,정보 없음,17:00-23:00,정보 없음,16:00-23:00,정보 없음,16:00-22:00,정보 없음,0507-1397-7132
when where wine,와인,4.47,서울 마포구 동교로38길 27-19 1층,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-24:00,정보 없음,0507-1305-1538
데어데어,"맥주,호프",4.47,서울 마포구 동교로38길 27-19 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1305-1538
연남일기,와인,4.52,서울 마포구 동교로34길 9 1층,정보 없음,정보 없음,15:30-25:00,00:30,15:30-25:00,00:30,15:30-25:00,00:30,15:30-25:00,00:30,13:30-25:30,01:00,13:30-25:30,정보 없음,0507-1496-6060
연남오락실,바(BAR),4.52,서울 마포구 동교로34길 9 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1496-6060
연남오뎅,"오뎅,꼬치",정보 없음,서울 마포구 동교로 262-13 지층,정보 없음,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,0507-1388-1360
카탈리스트,바(BAR),정보 없음,"서울 마포구 동교로46길 42-24 3층, BAR Catalyst",정보 없음,정보 없음,휴무,정보 없음,18:00-27:00,정보 없음,18:00-27:00,정보 없음,18:00-27:00,정보 없음,18:00-27:00,정보 없음,18:00-27:00,정보 없음,0507-1316-4629
유니르,바(BAR),4.7,서울 마포구 동교로 256-10,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,0507-1419-1240
주홍,바(BAR),4.7,서울 마포구 동교로 256-10,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1419-1240
딥하우스,"맥주,호프",정보 없음,서울 마포구 동교로 257-1 지하1층,18:00-26:00,정보 없음,휴무,정보 없음,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-26:00,정보 없음,0507-1377-5185
연남동잠깐,요리주점,정보 없음,서울 마포구 동교로 266-12 2층,휴무,정보 없음,휴무,정보 없음,휴무,정보 없음,휴무,정보 없음,휴무,정보 없음,휴무,정보 없음,15:00-24:00,정보 없음,0507-1407-0770
연남와인살롱,와인,4.56,서울 마포구 동교로46길 14 2F,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,15:00-24:00,정보 없음,15:00-24:00,정보 없음,02-332-0208
채널1969,"맥주,호프",4.56,서울 마포구 동교로46길 14 2F,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,010-9343-1969
미르,요리주점,4.82,서울 마포구 성미산로29안길 7 반지하 오른쪽 미르,휴무,정보 없음,휴무,정보 없음,휴무,정보 없음,휴무,정보 없음,18:00-23:00,21:30,휴무,정보 없음,휴무,정보 없음,02-323-5824
하울 인 더 바,바(BAR),4.82,서울 마포구 성미산로29안길 7 반지하 오른쪽 미르,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,02-323-5824
칠펍,바(BAR),정보 없음,서울 마포구 성미산로 185 지하,휴무,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-27:00,정보 없음,19:00-27:00,정보 없음,19:00-25:00,정보 없음,02-5622-7812
마인드엔터,와인,정보 없음,서울 마포구 성미산로17길 109 1층,12:00-23:00,15:30 - 17:30 브레이크타임,12:00-23:00,15:30 - 17:30 브레이크타임,휴무,정보 없음,12:00-23:00,15:30 - 17:30 브레이크타임,12:00-23:00,15:30 - 17:30 브레이크타임,12:00-23:00,15:30 - 17:30 브레이크타임,12:00-23:00,15:30 - 17:30 브레이크타임,0507-1323-7027
대환영,"맥주,호프",4.27,서울 마포구 성미산로29안길 17 1층,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-26:00,정보 없음,070-8712-2418
봉구비어 연남동점,"맥주,호프",4.27,서울 마포구 성미산로29안길 17 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,070-8712-2418
팬앤팟,와인,4.94,서울 마포구 연남로 15 1층 102호 팬앤팟,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-25:00,00:00,17:00-25:00,00:00,휴무,23:00,010-7248-7011
오비베어 연남점,"맥주,호프",4.94,서울 마포구 연남로 15 1층 102호 팬앤팟,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,010-7248-7011
슬로우코너,와인,정보 없음,서울 마포구 성미산로 161-15 1층 101호,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1496-0286
홈리스헤븐,바(BAR),정보 없음,서울 마포구 동교로 266-8 지1층 101호 홈리스헤븐 / 부재천국(한문),20:00-27:00,정보 없음,20:00-27:00,정보 없음,20:00-27:00,정보 없음,20:00-27:00,정보 없음,20:00-27:00,정보 없음,20:00-27:00,정보 없음,휴무,정보 없음,0507-1391-6902
바 러프,바(BAR),4.24,서울 마포구 성미산로29안길 26 지하1층,19:00-27:00,02:00,19:00-27:00,02:00,19:00-27:00,02:00,19:00-27:00,02:00,19:00-27:00,02:00,17:00-27:00,02:00,17:00-27:00,02:00,02-3142-1010
라라벨연남,와인,4.24,서울 마포구 성미산로29안길 26 지하1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,02-3142-1010
틈틈,이자카야,정보 없음,서울 마포구 동교로51길 73-1 1층 안쪽,18:30-24:00,23:00,18:30-24:00,23:00,18:30-24:00,23:00,18:30-24:00,23:00,18:30-24:00,23:00,18:30-24:00,23:00,18:30-24:00,23:00,0507-1331-5365
셀라도어,와인,4.96,서울 마포구 성미산로17길 105-4 102호,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1365-9175
Super BARKET,바(BAR),4.96,서울 마포구 성미산로17길 105-4 102호,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1389-4177
쇠가부엌,와인,4.85,서울 마포구 동교로 227-11 지하 1층,휴무,정보 없음,19:00-28:00,정보 없음,19:00-28:00,정보 없음,19:00-28:00,정보 없음,19:00-28:00,정보 없음,19:00-28:00,정보 없음,19:00-28:00,정보 없음,0507-1389-4177
리스본캔어리,와인,정보 없음,서울 마포구 연남로5길 9,휴무,정보 없음,18:00-23:00,22:30,18:00-23:00,22:30,18:00-23:00,22:30,18:00-23:00,22:30,18:00-23:00,22:30,휴무,정보 없음,0507-1372-1984
연남동장유,요리주점,4.97,서울 마포구 동교로 266-11 102호,04:00-22:00,정보 없음,04:00-22:00,정보 없음,04:00-22:00,정보 없음,04:00-22:00,정보 없음,04:00-22:00,정보 없음,04:00-22:00,정보 없음,04:00-22:00,정보 없음,0507-1490-3212
올디너리포차,포장마차,4.97,서울 마포구 동교로 266-11 102호,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1490-3212
백경,술집,4.32,서울 마포구 동교로38길 16,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
연남장작,와인,4.32,서울 마포구 동교로38길 16,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,02-332-0207
믹슬로우,요리주점,4.19,서울 마포구 동교로46길 14,휴무,정보 없음,17:00-23:00,22:00,17:00-23:00,22:00,17:00-23:00,22:00,17:00-23:00,22:00,12:00-23:00,15:00 - 17:00 브레이크타임,12:00-21:00,정보 없음,0507-1348-3909
해빗 태그,와인,정보 없음,서울 마포구 동교로38길 33-14 1층,휴무,정보 없음,17:00-23:00,정보 없음,17:00-23:00,정보 없음,17:00-23:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,02-6368-1112
태힐리아,요리주점,4.74,서울 마포구 동교로34길 8 1층 태힐리아,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,02-2202-0105
더스트카멜,"맥주,호프",4.74,서울 마포구 동교로34길 8 1층 태힐리아,17:30-25:00,정보 없음,17:30-25:00,정보 없음,17:30-25:00,정보 없음,17:30-25:00,정보 없음,17:30-25:00,정보 없음,17:30-26:00,정보 없음,17:30-26:00,정보 없음,02-2202-0105
계루,바(BAR),정보 없음,서울 마포구 성미산로 165-6,18:30-26:00,정보 없음,18:30-26:00,정보 없음,18:30-26:00,정보 없음,18:30-26:00,정보 없음,18:30-26:00,정보 없음,18:30-26:00,정보 없음,휴무,정보 없음,02-336-4493
목로집,요리주점,4.45,서울 마포구 월드컵북로6길 19 1층 목로집,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,02-3357-9657
허프앤퍼프,바(BAR),4.45,서울 마포구 월드컵북로6길 19 1층 목로집,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-26:00,정보 없음,14:00-26:00,정보 없음,14:00-24:00,정보 없음,02-337-5555
미자살롱,바(BAR),정보 없음,서울 마포구 동교로38길 6 1층,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,0507-1358-2198
바 주 연남,바(BAR),정보 없음,서울 마포구 동교로34길 4 1층,19:00-29:00,04:30,19:00-29:00,04:30,19:00-29:00,04:30,19:00-29:00,04:30,19:00-29:00,04:30,18:00-29:00,04:30,18:00-29:00,04:30,0507-1364-2047
빌리언,포장마차,4.86,서울 마포구 동교로 248-2 1층,휴무,정보 없음,18:00-29:00,정보 없음,18:00-29:00,정보 없음,18:00-29:00,정보 없음,18:00-29:00,정보 없음,18:00-29:00,정보 없음,18:00-29:00,정보 없음,010-7777-3229
라셀렉시옹,와인,4.86,서울 마포구 동교로 248-2 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,010-7777-3229
